:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	2422571869832093000
1	:ok	:generate	6440233581377356000
1	:invoke	:generate	nil
0	:ok	:generate	3992696759830620000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1"}, "n2" #{"n0"}, "n1" #{"n0"}}]
0	:ok	:generate	3670675700327343
0	:invoke	:generate	nil
2	:ok	:generate	2605470128293141000
2	:invoke	:generate	nil
0	:ok	:generate	1325144148342729000
0	:invoke	:generate	nil
1	:ok	:generate	3437860040004988400
1	:invoke	:generate	nil
0	:ok	:generate	965706645403050100
0	:invoke	:generate	nil
0	:ok	:generate	3662744866099951000
0	:invoke	:generate	nil
1	:ok	:generate	6898655211283785000
1	:invoke	:generate	nil
0	:ok	:generate	4533828892469918000
0	:invoke	:generate	nil
2	:ok	:generate	2468624055926980600
2	:invoke	:generate	nil
0	:ok	:generate	5508967630114201000
0	:invoke	:generate	nil
2	:ok	:generate	862751052302179000
1	:ok	:generate	7997187339509812000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	8579041220053337000
0	:ok	:generate	7068595859303985000
0	:invoke	:generate	nil
2	:ok	:generate	3394767282650364000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	2153731334165047600
0	:invoke	:generate	nil
1	:ok	:generate	281025258501455740
1	:invoke	:generate	nil
2	:ok	:generate	4628060327147079000
0	:ok	:generate	5437062765281279000
0	:invoke	:generate	nil
1	:ok	:generate	351571344429574000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	2182185703732653600
0	:invoke	:generate	nil
1	:ok	:generate	6098535067738585000
1	:invoke	:generate	nil
2	:ok	:generate	5504859030555705000
0	:ok	:generate	2034455685611324700
2	:invoke	:generate	nil
1	:ok	:generate	267649121288248480
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	995420474983504100
0	:ok	:generate	2746766665067419000
0	:invoke	:generate	nil
1	:ok	:generate	9107278108821100000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	7914769271586203000
1	:invoke	:generate	nil
2	:ok	:generate	1146850404341742300
0	:ok	:generate	4941646807157203000
0	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	3822087324469670400
0	:invoke	:generate	nil
1	:ok	:generate	3343137245579525600
2	:ok	:generate	8115550438334594000
1	:invoke	:generate	nil
0	:ok	:generate	5285200553638470000
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	1457000749597648000
1	:invoke	:generate	nil
2	:ok	:generate	6301701556990773000
1	:ok	:generate	3587176523821524500
1	:invoke	:generate	nil
0	:ok	:generate	5780074517225209000
0	:invoke	:generate	nil
1	:ok	:generate	8407338897992500000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	1734876849915273500
2	:ok	:generate	5153555774385682000
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	303129207734861060
1	:invoke	:generate	nil
0	:ok	:generate	6483691659879771000
2	:ok	:generate	5192497831819246000
1	:ok	:generate	1826302672360421600
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	2914155378075628000
1	:ok	:generate	1123978045453901700
0	:ok	:generate	4742943140787812000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	3105686504898430000
0	:ok	:generate	358090737108361860
0	:invoke	:generate	nil
2	:ok	:generate	8697157095651516000
1	:invoke	:generate	nil
0	:ok	:generate	1344582583607782000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	7596611481548771000
1	:invoke	:generate	nil
2	:ok	:generate	7914433752019097000
2	:invoke	:generate	nil
0	:ok	:generate	8431024443551397000
1	:ok	:generate	947672350256990700
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	7328235321235779000
2	:invoke	:generate	nil
0	:ok	:generate	8380904791781393000
1	:ok	:generate	2437024576373284400
1	:invoke	:generate	nil
2	:ok	:generate	5663585631023331000
2	:invoke	:generate	nil
1	:ok	:generate	2639327679111874600
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	6426749581739211000
2	:invoke	:generate	nil
0	:ok	:generate	8636070149887303000
0	:invoke	:generate	nil
2	:ok	:generate	4948010308992209000
1	:ok	:generate	1815048447725268700
0	:ok	:generate	2460375282997991400
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	6764692536414681000
2	:invoke	:generate	nil
1	:ok	:generate	1404215791072334600
0	:invoke	:generate	nil
2	:ok	:generate	1682555476074815200
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	2569401363982991000
1	:ok	:generate	1049839570389691000
1	:invoke	:generate	nil
2	:ok	:generate	7904874185807276000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	4454787834378557400
1	:invoke	:generate	nil
2	:ok	:generate	7043421332143482000
2	:invoke	:generate	nil
0	:ok	:generate	4140533420175885300
0	:invoke	:generate	nil
1	:ok	:generate	1563453006225763600
1	:invoke	:generate	nil
2	:ok	:generate	6027126836162038000
2	:invoke	:generate	nil
1	:ok	:generate	8137175389786521000
1	:invoke	:generate	nil
0	:ok	:generate	1088849322460013000
2	:ok	:generate	8935901197111435000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	685911182631802200
2	:ok	:generate	8760515757786071000
1	:ok	:generate	6894695328147577000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	7778131455706811000
1	:ok	:generate	4032678729299352000
0	:invoke	:generate	nil
2	:ok	:generate	7145146366302573000
